Re;aoa;case;d95ps;d95ss
3000000.0;0.0;tu;0.004939037760024813;0.0049385591611031225
3000000.0;0.0;tr;0.0025293918197938727;0.0027026399951752852
3000000.0;2.0;tu;0.004079495392652063;0.005986179804063562
3000000.0;2.0;tr;0.002300941364549462;0.0031066099891320547
3000000.0;4.0;tu;0.0034234309647103614;0.007448005531065383
3000000.0;4.0;tr;0.0019643903477098786;0.003660009421559134
3000000.0;6.0;tu;0.0029022173305144577;0.009615150670861198
3000000.0;6.0;tr;0.001839956734730018;0.004490616134600135
3000000.0;8.0;tu;0.0024741607714044915;0.013118664195909242
3000000.0;8.0;tr;0.0016549920939524238;0.0064619759647322195
3000000.0;10.0;tu;0.002110260187487621;0.019663742314921562
3000000.0;10.0;tr;0.001473492881329192;0.01229352582998782
3000000.0;12.0;tu;0.0017876832723699003;0.035105935008263825
3000000.0;12.0;tr;0.0012727366145489332;0.027086930576908985
